TID;OMRÅDE;CIVILSTAND;INDHOLD
2010Q4;Horsens;Total;82556
2010Q4;Horsens;Never married;38734
2010Q4;Horsens;Married/separated;33179
2010Q4;Horsens;Widowed;4321
2010Q4;Horsens;Divorced;6322
2010Q4;Norddjurs;Total;38037
2010Q4;Norddjurs;Never married;16556
2010Q4;Norddjurs;Married/separated;15711
2010Q4;Norddjurs;Widowed;2617
2010Q4;Norddjurs;Divorced;3153
2010Q4;Odder;Total;21856
2010Q4;Odder;Never married;9232
2010Q4;Odder;Married/separated;9837
2010Q4;Odder;Widowed;1276
2010Q4;Odder;Divorced;1511
2010Q4;Randers;Total;95262
2010Q4;Randers;Never married;44497
2010Q4;Randers;Married/separated;37603
2010Q4;Randers;Widowed;5569
2010Q4;Randers;Divorced;7593
2010Q4;Samsø;Total;3898
2010Q4;Samsø;Never married;1402
2010Q4;Samsø;Married/separated;1706
2010Q4;Samsø;Widowed;393
2010Q4;Samsø;Divorced;397
2010Q4;Silkeborg;Total;88734
2010Q4;Silkeborg;Never married;40541
2010Q4;Silkeborg;Married/separated;37248
2010Q4;Silkeborg;Widowed;4481
2010Q4;Silkeborg;Divorced;6464
2010Q4;Skanderborg;Total;57631
2010Q4;Skanderborg;Never married;25707
2010Q4;Skanderborg;Married/separated;25825
2010Q4;Skanderborg;Widowed;2481
2010Q4;Skanderborg;Divorced;3618
2010Q4;Syddjurs;Total;41680
2010Q4;Syddjurs;Never married;17347
2010Q4;Syddjurs;Married/separated;18585
2010Q4;Syddjurs;Widowed;2540
2010Q4;Syddjurs;Divorced;3208
2010Q4;Aarhus;Total;310653
2010Q4;Aarhus;Never married;174263
2010Q4;Aarhus;Married/separated;100646
2010Q4;Aarhus;Widowed;12853
2010Q4;Aarhus;Divorced;22891
2010Q4;Herning;Total;85754
2010Q4;Herning;Never married;39889
2010Q4;Herning;Married/separated;35821
2010Q4;Herning;Widowed;4560
2010Q4;Herning;Divorced;5484
2010Q4;Holstebro;Total;57134
2010Q4;Holstebro;Never married;26451
2010Q4;Holstebro;Married/separated;23776
2010Q4;Holstebro;Widowed;3207
2010Q4;Holstebro;Divorced;3700
2010Q4;Ikast-Brande;Total;40484
2010Q4;Ikast-Brande;Never married;18153
2010Q4;Ikast-Brande;Married/separated;17487
2010Q4;Ikast-Brande;Widowed;2171
2010Q4;Ikast-Brande;Divorced;2673
2010Q4;Lemvig;Total;21571
2010Q4;Lemvig;Never married;9038
2010Q4;Lemvig;Married/separated;9775
2010Q4;Lemvig;Widowed;1488
2010Q4;Lemvig;Divorced;1270
2010Q4;Ringkøbing-Skjern;Total;58111
2010Q4;Ringkøbing-Skjern;Never married;25467
2010Q4;Ringkøbing-Skjern;Married/separated;25706
2010Q4;Ringkøbing-Skjern;Widowed;3501
2010Q4;Ringkøbing-Skjern;Divorced;3437
2010Q4;Skive;Total;47964
2010Q4;Skive;Never married;21349
2010Q4;Skive;Married/separated;20427
2010Q4;Skive;Widowed;3074
2010Q4;Skive;Divorced;3114
2010Q4;Struer;Total;22194
2010Q4;Struer;Never married;9162
2010Q4;Struer;Married/separated;10095
2010Q4;Struer;Widowed;1415
2010Q4;Struer;Divorced;1522
2010Q4;Viborg;Total;93636
2010Q4;Viborg;Never married;43055
2010Q4;Viborg;Married/separated;38883
2010Q4;Viborg;Widowed;5235
2010Q4;Viborg;Divorced;6463
2010Q4;Region Nordjylland;Total;579275
2010Q4;Region Nordjylland;Never married;264902
2010Q4;Region Nordjylland;Married/separated;236614
2010Q4;Region Nordjylland;Widowed;36264
2010Q4;Region Nordjylland;Divorced;41495
2010Q4;Brønderslev;Total;35807
2010Q4;Brønderslev;Never married;15737
2010Q4;Brønderslev;Married/separated;15392
2010Q4;Brønderslev;Widowed;2333
2010Q4;Brønderslev;Divorced;2345
2010Q4;Frederikshavn;Total;61633
2010Q4;Frederikshavn;Never married;25438
2010Q4;Frederikshavn;Married/separated;26764
2010Q4;Frederikshavn;Widowed;4489
2010Q4;Frederikshavn;Divorced;4942
2010Q4;Hjørring;Total;66496
2010Q4;Hjørring;Never married;29495
2010Q4;Hjørring;Married/separated;27688
2010Q4;Hjørring;Widowed;4341
2010Q4;Hjørring;Divorced;4972
2010Q4;Jammerbugt;Total;38741
2010Q4;Jammerbugt;Never married;16390
2010Q4;Jammerbugt;Married/separated;17419
2010Q4;Jammerbugt;Widowed;2511
2010Q4;Jammerbugt;Divorced;2421
2010Q4;Læsø;Total;1959
2010Q4;Læsø;Never married;668
2010Q4;Læsø;Married/separated;914
2010Q4;Læsø;Widowed;205
2010Q4;Læsø;Divorced;172
2010Q4;Mariagerfjord;Total;42523
2010Q4;Mariagerfjord;Never married;18714
2010Q4;Mariagerfjord;Married/separated;18131
2010Q4;Mariagerfjord;Widowed;2620
2010Q4;Mariagerfjord;Divorced;3058
2010Q4;Morsø;Total;21651
2010Q4;Morsø;Never married;9384
2010Q4;Morsø;Married/separated;9238
2010Q4;Morsø;Widowed;1571
2010Q4;Morsø;Divorced;1458
2010Q4;Rebild;Total;28894
2010Q4;Rebild;Never married;12740
2010Q4;Rebild;Married/separated;12724
2010Q4;Rebild;Widowed;1650
2010Q4;Rebild;Divorced;1780
2010Q4;Thisted;Total;45144
2010Q4;Thisted;Never married;19454
2010Q4;Thisted;Married/separated;19732
2010Q4;Thisted;Widowed;3117
2010Q4;Thisted;Divorced;2841
2010Q4;Vesthimmerlands;Total;37926
2010Q4;Vesthimmerlands;Never married;16950
2010Q4;Vesthimmerlands;Married/separated;15795
2010Q4;Vesthimmerlands;Widowed;2603
2010Q4;Vesthimmerlands;Divorced;2578
2010Q4;Aalborg;Total;198501
2010Q4;Aalborg;Never married;99932
2010Q4;Aalborg;Married/separated;72817
2010Q4;Aalborg;Widowed;10824
2010Q4;Aalborg;Divorced;14928
2011Q1;All Denmark;Total;5560628
2011Q1;All Denmark;Never married;2616048
2011Q1;All Denmark;Married/separated;2187702
2011Q1;All Denmark;Widowed;307269
2011Q1;All Denmark;Divorced;449609
2011Q1;Region Hovedstaden;Total;1699387
2011Q1;Region Hovedstaden;Never married;852897
2011Q1;Region Hovedstaden;Married/separated;608334
2011Q1;Region Hovedstaden;Widowed;84634
2011Q1;Region Hovedstaden;Divorced;153522
2011Q1;Copenhagen;Total;539542
2011Q1;Copenhagen;Never married;335339
2011Q1;Copenhagen;Married/separated;135422
2011Q1;Copenhagen;Widowed;18963
2011Q1;Copenhagen;Divorced;49818
2011Q1;Frederiksberg;Total;98782
2011Q1;Frederiksberg;Never married;55426
2011Q1;Frederiksberg;Married/separated;28606
2011Q1;Frederiksberg;Widowed;5248
2011Q1;Frederiksberg;Divorced;9502
2011Q1;Dragør;Total;13717
2011Q1;Dragør;Never married;5206
2011Q1;Dragør;Married/separated;6656
2011Q1;Dragør;Widowed;859
2011Q1;Dragør;Divorced;996
2011Q1;Tårnby;Total;40835
2011Q1;Tårnby;Never married;17504
2011Q1;Tårnby;Married/separated;17029
2011Q1;Tårnby;Widowed;2591
2011Q1;Tårnby;Divorced;3711
2011Q1;Albertslund;Total;27800
2011Q1;Albertslund;Never married;13471
2011Q1;Albertslund;Married/separated;10758
2011Q1;Albertslund;Widowed;1069
2011Q1;Albertslund;Divorced;2502
2011Q1;Ballerup;Total;47930
2011Q1;Ballerup;Never married;21439
2011Q1;Ballerup;Married/separated;19327
2011Q1;Ballerup;Widowed;2698
2011Q1;Ballerup;Divorced;4466
2011Q1;Brøndby;Total;34021
2011Q1;Brøndby;Never married;14702
2011Q1;Brøndby;Married/separated;13865
2011Q1;Brøndby;Widowed;2109
2011Q1;Brøndby;Divorced;3345
2011Q1;Gentofte;Total;71714
2011Q1;Gentofte;Never married;33140
2011Q1;Gentofte;Married/separated;28238
2011Q1;Gentofte;Widowed;4174
2011Q1;Gentofte;Divorced;6162
2011Q1;Gladsaxe;Total;64951
2011Q1;Gladsaxe;Never married;30978
2011Q1;Gladsaxe;Married/separated;24384
2011Q1;Gladsaxe;Widowed;3667
2011Q1;Gladsaxe;Divorced;5922
2011Q1;Glostrup;Total;21384
2011Q1;Glostrup;Never married;9849
2011Q1;Glostrup;Married/separated;8069
2011Q1;Glostrup;Widowed;1394
2011Q1;Glostrup;Divorced;2072
2011Q1;Herlev;Total;26597
2011Q1;Herlev;Never married;11698
2011Q1;Herlev;Married/separated;10757
2011Q1;Herlev;Widowed;1678
2011Q1;Herlev;Divorced;2464
2011Q1;Hvidovre;Total;50081
2011Q1;Hvidovre;Never married;23209
2011Q1;Hvidovre;Married/separated;19346
2011Q1;Hvidovre;Widowed;2856
2011Q1;Hvidovre;Divorced;4670
2011Q1;Høje-Taastrup;Total;47753
2011Q1;Høje-Taastrup;Never married;21555
2011Q1;Høje-Taastrup;Married/separated;19859
2011Q1;Høje-Taastrup;Widowed;2220
2011Q1;Høje-Taastrup;Divorced;4119
2011Q1;Ishøj;Total;20797
2011Q1;Ishøj;Never married;9468
2011Q1;Ishøj;Married/separated;8564
2011Q1;Ishøj;Widowed;898
2011Q1;Ishøj;Divorced;1867
2011Q1;Lyngby-Taarbæk;Total;52754
2011Q1;Lyngby-Taarbæk;Never married;24412
2011Q1;Lyngby-Taarbæk;Married/separated;20247
2011Q1;Lyngby-Taarbæk;Widowed;3490
2011Q1;Lyngby-Taarbæk;Divorced;4605
2011Q1;Rødovre;Total;36524
2011Q1;Rødovre;Never married;16656
2011Q1;Rødovre;Married/separated;13859
2011Q1;Rødovre;Widowed;2385
2011Q1;Rødovre;Divorced;3624
2011Q1;Vallensbæk;Total;14445
2011Q1;Vallensbæk;Never married;6037
2011Q1;Vallensbæk;Married/separated;6706
2011Q1;Vallensbæk;Widowed;651
2011Q1;Vallensbæk;Divorced;1051
2011Q1;Allerød;Total;24096
2011Q1;Allerød;Never married;9763
2011Q1;Allerød;Married/separated;11655
2011Q1;Allerød;Widowed;1065
2011Q1;Allerød;Divorced;1613
2011Q1;Egedal;Total;41614
2011Q1;Egedal;Never married;17168
2011Q1;Egedal;Married/separated;20210
2011Q1;Egedal;Widowed;1601
2011Q1;Egedal;Divorced;2635
2011Q1;Fredensborg;Total;39341
2011Q1;Fredensborg;Never married;16420
2011Q1;Fredensborg;Married/separated;17351
2011Q1;Fredensborg;Widowed;1901
2011Q1;Fredensborg;Divorced;3669
2011Q1;Frederikssund;Total;44307
2011Q1;Frederikssund;Never married;18133
2011Q1;Frederikssund;Married/separated;19870
2011Q1;Frederikssund;Widowed;2540
2011Q1;Frederikssund;Divorced;3764
2011Q1;Furesø;Total;38286
2011Q1;Furesø;Never married;15908
2011Q1;Furesø;Married/separated;17366
2011Q1;Furesø;Widowed;1959
2011Q1;Furesø;Divorced;3053
2011Q1;Gribskov;Total;40700
2011Q1;Gribskov;Never married;15937
2011Q1;Gribskov;Married/separated;18643
2011Q1;Gribskov;Widowed;2370
2011Q1;Gribskov;Divorced;3750
2011Q1;Halsnæs;Total;31056
2011Q1;Halsnæs;Never married;12558
2011Q1;Halsnæs;Married/separated;13516
2011Q1;Halsnæs;Widowed;1967
2011Q1;Halsnæs;Divorced;3015
2011Q1;Helsingør;Total;61368
2011Q1;Helsingør;Never married;26436
2011Q1;Helsingør;Married/separated;24751
2011Q1;Helsingør;Widowed;3530
2011Q1;Helsingør;Divorced;6651
2011Q1;Hillerød;Total;47916
2011Q1;Hillerød;Never married;21237
2011Q1;Hillerød;Married/separated;20501
2011Q1;Hillerød;Widowed;2435
2011Q1;Hillerød;Divorced;3743
2011Q1;Hørsholm;Total;24415
2011Q1;Hørsholm;Never married;9411
2011Q1;Hørsholm;Married/separated;11091
2011Q1;Hørsholm;Widowed;1609
2011Q1;Hørsholm;Divorced;2304
2011Q1;Rudersdal;Total;54765
2011Q1;Rudersdal;Never married;23167
2011Q1;Rudersdal;Married/separated;23827
2011Q1;Rudersdal;Widowed;3410
2011Q1;Rudersdal;Divorced;4361
2011Q1;Bornholm;Total;41802
2011Q1;Bornholm;Never married;16635
2011Q1;Bornholm;Married/separated;17810
2011Q1;Bornholm;Widowed;3292
2011Q1;Bornholm;Divorced;4065
2011Q1;Christiansø;Total;94
2011Q1;Christiansø;Never married;35
2011Q1;Christiansø;Married/separated;51
2011Q1;Christiansø;Widowed;5
2011Q1;Christiansø;Divorced;3
2011Q1;Region Sjælland;Total;819763
2011Q1;Region Sjælland;Never married;351580
2011Q1;Region Sjælland;Married/separated;346165
2011Q1;Region Sjælland;Widowed;49930
2011Q1;Region Sjælland;Divorced;72088
2011Q1;Greve;Total;47978
2011Q1;Greve;Never married;19424
2011Q1;Greve;Married/separated;22344
2011Q1;Greve;Widowed;2289
2011Q1;Greve;Divorced;3921
2011Q1;Køge;Total;57271
2011Q1;Køge;Never married;24944
2011Q1;Køge;Married/separated;24482
2011Q1;Køge;Widowed;2966
2011Q1;Køge;Divorced;4879
2011Q1;Lejre;Total;26764
2011Q1;Lejre;Never married;10761
2011Q1;Lejre;Married/separated;12830
2011Q1;Lejre;Widowed;1349
2011Q1;Lejre;Divorced;1824
2011Q1;Roskilde;Total;82542
2011Q1;Roskilde;Never married;37658
2011Q1;Roskilde;Married/separated;33819
2011Q1;Roskilde;Widowed;4229
2011Q1;Roskilde;Divorced;6836
2011Q1;Solrød;Total;20964
2011Q1;Solrød;Never married;8585
2011Q1;Solrød;Married/separated;9787
2011Q1;Solrød;Widowed;960
2011Q1;Solrød;Divorced;1632
2011Q1;Faxe;Total;35277
2011Q1;Faxe;Never married;14704
2011Q1;Faxe;Married/separated;15464
2011Q1;Faxe;Widowed;2104
2011Q1;Faxe;Divorced;3005
2011Q1;Guldborgsund;Total;62583
2011Q1;Guldborgsund;Never married;25759
2011Q1;Guldborgsund;Married/separated;26066
2011Q1;Guldborgsund;Widowed;4724
2011Q1;Guldborgsund;Divorced;6034
2011Q1;Holbæk;Total;69521
2011Q1;Holbæk;Never married;30910
2011Q1;Holbæk;Married/separated;28906
2011Q1;Holbæk;Widowed;3908
2011Q1;Holbæk;Divorced;5797
2011Q1;Kalundborg;Total;49088
2011Q1;Kalundborg;Never married;21116
2011Q1;Kalundborg;Married/separated;20225
2011Q1;Kalundborg;Widowed;3231
2011Q1;Kalundborg;Divorced;4516
2011Q1;Lolland;Total;46111
2011Q1;Lolland;Never married;18822
2011Q1;Lolland;Married/separated;18750
2011Q1;Lolland;Widowed;3880
2011Q1;Lolland;Divorced;4659
2011Q1;Næstved;Total;80963
2011Q1;Næstved;Never married;35880
2011Q1;Næstved;Married/separated;32939
2011Q1;Næstved;Widowed;4849
2011Q1;Næstved;Divorced;7295
2011Q1;Odsherred;Total;32845
2011Q1;Odsherred;Never married;12645
2011Q1;Odsherred;Married/separated;14562
2011Q1;Odsherred;Widowed;2408
2011Q1;Odsherred;Divorced;3230
2011Q1;Ringsted;Total;32890
2011Q1;Ringsted;Never married;14702
2011Q1;Ringsted;Married/separated;13812
2011Q1;Ringsted;Widowed;1713
2011Q1;Ringsted;Divorced;2663
2011Q1;Slagelse;Total;77442
2011Q1;Slagelse;Never married;35265
2011Q1;Slagelse;Married/separated;30394
2011Q1;Slagelse;Widowed;4727
2011Q1;Slagelse;Divorced;7056
2011Q1;Sorø;Total;29499
2011Q1;Sorø;Never married;12815
2011Q1;Sorø;Married/separated;12485
2011Q1;Sorø;Widowed;1783
2011Q1;Sorø;Divorced;2416
2011Q1;Stevns;Total;21855
2011Q1;Stevns;Never married;8580
2011Q1;Stevns;Married/separated;10060
2011Q1;Stevns;Widowed;1380
2011Q1;Stevns;Divorced;1835
2011Q1;Vordingborg;Total;46170
2011Q1;Vordingborg;Never married;19010
2011Q1;Vordingborg;Married/separated;19240
2011Q1;Vordingborg;Widowed;3430
2011Q1;Vordingborg;Divorced;4490
2011Q1;Region Syddanmark;Total;1200656
2011Q1;Region Syddanmark;Never married;542717
2011Q1;Region Syddanmark;Married/separated;493633
2011Q1;Region Syddanmark;Widowed;70848
2011Q1;Region Syddanmark;Divorced;93458
2011Q1;Assens;Total;41635
2011Q1;Assens;Never married;17808
2011Q1;Assens;Married/separated;18037
2011Q1;Assens;Widowed;2645
2011Q1;Assens;Divorced;3145
2011Q1;Faaborg-Midtfyn;Total;51926
2011Q1;Faaborg-Midtfyn;Never married;21805
2011Q1;Faaborg-Midtfyn;Married/separated;22727
2011Q1;Faaborg-Midtfyn;Widowed;3425
2011Q1;Faaborg-Midtfyn;Divorced;3969
2011Q1;Kerteminde;Total;23758
2011Q1;Kerteminde;Never married;9777
2011Q1;Kerteminde;Married/separated;10508
2011Q1;Kerteminde;Widowed;1567
2011Q1;Kerteminde;Divorced;1906
2011Q1;Langeland;Total;13322
2011Q1;Langeland;Never married;4901
2011Q1;Langeland;Married/separated;5950
2011Q1;Langeland;Widowed;1203
2011Q1;Langeland;Divorced;1268
2011Q1;Middelfart;Total;37701
2011Q1;Middelfart;Never married;15746
2011Q1;Middelfart;Married/separated;16690
2011Q1;Middelfart;Widowed;2364
2011Q1;Middelfart;Divorced;2901
2011Q1;Nordfyns;Total;29507
2011Q1;Nordfyns;Never married;12558
2011Q1;Nordfyns;Married/separated;13131
2011Q1;Nordfyns;Widowed;1732
2011Q1;Nordfyns;Divorced;2086
2011Q1;Nyborg;Total;31499
2011Q1;Nyborg;Never married;13261
2011Q1;Nyborg;Married/separated;13522
2011Q1;Nyborg;Widowed;2032
2011Q1;Nyborg;Divorced;2684
2011Q1;Odense;Total;190245
2011Q1;Odense;Never married;97156
2011Q1;Odense;Married/separated;67396
2011Q1;Odense;Widowed;10063
2011Q1;Odense;Divorced;15630
2011Q1;Svendborg;Total;58713
2011Q1;Svendborg;Never married;25962
2011Q1;Svendborg;Married/separated;24080
2011Q1;Svendborg;Widowed;3678
2011Q1;Svendborg;Divorced;4993
2011Q1;Ærø;Total;6663
2011Q1;Ærø;Never married;2464
2011Q1;Ærø;Married/separated;2969
2011Q1;Ærø;Widowed;657
2011Q1;Ærø;Divorced;573
2011Q1;Billund;Total;26155
2011Q1;Billund;Never married;11539
2011Q1;Billund;Married/separated;11336
2011Q1;Billund;Widowed;1552
2011Q1;Billund;Divorced;1728
2011Q1;Esbjerg;Total;115184
2011Q1;Esbjerg;Never married;53849
2011Q1;Esbjerg;Married/separated;46000
2011Q1;Esbjerg;Widowed;6217
2011Q1;Esbjerg;Divorced;9118
2011Q1;Fanø;Total;3213
2011Q1;Fanø;Never married;1147
2011Q1;Fanø;Married/separated;1503
2011Q1;Fanø;Widowed;258
2011Q1;Fanø;Divorced;305
2011Q1;Fredericia;Total;50104
2011Q1;Fredericia;Never married;22514
2011Q1;Fredericia;Married/separated;20197
2011Q1;Fredericia;Widowed;2889
2011Q1;Fredericia;Divorced;4504
2011Q1;Haderslev;Total;56117
2011Q1;Haderslev;Never married;24759
2011Q1;Haderslev;Married/separated;23341
2011Q1;Haderslev;Widowed;3544
2011Q1;Haderslev;Divorced;4473
2011Q1;Kolding;Total;89210
2011Q1;Kolding;Never married;41987
2011Q1;Kolding;Married/separated;35773
2011Q1;Kolding;Widowed;4647
2011Q1;Kolding;Divorced;6803
2011Q1;Sønderborg;Total;76193
2011Q1;Sønderborg;Never married;32803
2011Q1;Sønderborg;Married/separated;32786
2011Q1;Sønderborg;Widowed;4726
2011Q1;Sønderborg;Divorced;5878
2011Q1;Tønder;Total;39464
2011Q1;Tønder;Never married;16870
2011Q1;Tønder;Married/separated;16983
2011Q1;Tønder;Widowed;2754
2011Q1;Tønder;Divorced;2857
2011Q1;Varde;Total;50351
2011Q1;Varde;Never married;22101
2011Q1;Varde;Married/separated;22248
2011Q1;Varde;Widowed;2971
2011Q1;Varde;Divorced;3031
2011Q1;Vejen;Total;42683
2011Q1;Vejen;Never married;19198
2011Q1;Vejen;Married/separated;18074
2011Q1;Vejen;Widowed;2520
2011Q1;Vejen;Divorced;2891
2011Q1;Vejle;Total;107218
2011Q1;Vejle;Never married;49133
2011Q1;Vejle;Married/separated;44573
2011Q1;Vejle;Widowed;5695
2011Q1;Vejle;Divorced;7817
2011Q1;Aabenraa;Total;59795
2011Q1;Aabenraa;Never married;25379
2011Q1;Aabenraa;Married/separated;25809
2011Q1;Aabenraa;Widowed;3709
2011Q1;Aabenraa;Divorced;4898
2011Q1;Region Midtjylland;Total;1260993
2011Q1;Region Midtjylland;Never married;602963
2011Q1;Region Midtjylland;Married/separated;503525
2011Q1;Region Midtjylland;Widowed;65731
2011Q1;Region Midtjylland;Divorced;88774
2011Q1;Favrskov;Total;46894
2011Q1;Favrskov;Never married;20883
2011Q1;Favrskov;Married/separated;21077
2011Q1;Favrskov;Widowed;2144
2011Q1;Favrskov;Divorced;2790
2011Q1;Hedensted;Total;45980
2011Q1;Hedensted;Never married;19985
2011Q1;Hedensted;Married/separated;20555
2011Q1;Hedensted;Widowed;2604
2011Q1;Hedensted;Divorced;2836
2011Q1;Horsens;Total;82835
2011Q1;Horsens;Never married;38940
2011Q1;Horsens;Married/separated;33213
2011Q1;Horsens;Widowed;4311
2011Q1;Horsens;Divorced;6371
2011Q1;Norddjurs;Total;38029
2011Q1;Norddjurs;Never married;16591
2011Q1;Norddjurs;Married/separated;15678
2011Q1;Norddjurs;Widowed;2609
2011Q1;Norddjurs;Divorced;3151
2011Q1;Odder;Total;21852
2011Q1;Odder;Never married;9215
2011Q1;Odder;Married/separated;9832
2011Q1;Odder;Widowed;1277
2011Q1;Odder;Divorced;1528
2011Q1;Randers;Total;95318
2011Q1;Randers;Never married;44606
2011Q1;Randers;Married/separated;37505
2011Q1;Randers;Widowed;5560
2011Q1;Randers;Divorced;7647
2011Q1;Samsø;Total;3885
2011Q1;Samsø;Never married;1391
2011Q1;Samsø;Married/separated;1709
2011Q1;Samsø;Widowed;388
2011Q1;Samsø;Divorced;397
2011Q1;Silkeborg;Total;88913
2011Q1;Silkeborg;Never married;40714
2011Q1;Silkeborg;Married/separated;37196
2011Q1;Silkeborg;Widowed;4475
2011Q1;Silkeborg;Divorced;6528
2011Q1;Skanderborg;Total;57717
2011Q1;Skanderborg;Never married;25776
2011Q1;Skanderborg;Married/separated;25782
2011Q1;Skanderborg;Widowed;2501
2011Q1;Skanderborg;Divorced;3658
2011Q1;Syddjurs;Total;41734
2011Q1;Syddjurs;Never married;17404
2011Q1;Syddjurs;Married/separated;18573
2011Q1;Syddjurs;Widowed;2540
2011Q1;Syddjurs;Divorced;3217
2011Q1;Aarhus;Total;310956
2011Q1;Aarhus;Never married;174740
2011Q1;Aarhus;Married/separated;100560
2011Q1;Aarhus;Widowed;12757
2011Q1;Aarhus;Divorced;22899
2011Q1;Herning;Total;85852
2011Q1;Herning;Never married;39933
2011Q1;Herning;Married/separated;35886
2011Q1;Herning;Widowed;4540
2011Q1;Herning;Divorced;5493
2011Q1;Holstebro;Total;57161
2011Q1;Holstebro;Never married;26494
2011Q1;Holstebro;Married/separated;23777
2011Q1;Holstebro;Widowed;3208
2011Q1;Holstebro;Divorced;3682
2011Q1;Ikast-Brande;Total;40571
2011Q1;Ikast-Brande;Never married;18223
2011Q1;Ikast-Brande;Married/separated;17489
2011Q1;Ikast-Brande;Widowed;2174
2011Q1;Ikast-Brande;Divorced;2685
2011Q1;Lemvig;Total;21554
2011Q1;Lemvig;Never married;9042
2011Q1;Lemvig;Married/separated;9748
2011Q1;Lemvig;Widowed;1482
2011Q1;Lemvig;Divorced;1282
2011Q1;Ringkøbing-Skjern;Total;58068
2011Q1;Ringkøbing-Skjern;Never married;25465
2011Q1;Ringkøbing-Skjern;Married/separated;25660
2011Q1;Ringkøbing-Skjern;Widowed;3489
2011Q1;Ringkøbing-Skjern;Divorced;3454
2011Q1;Skive;Total;47986
2011Q1;Skive;Never married;21381
2011Q1;Skive;Married/separated;20406
2011Q1;Skive;Widowed;3055
2011Q1;Skive;Divorced;3144
2011Q1;Struer;Total;22190
2011Q1;Struer;Never married;9183
2011Q1;Struer;Married/separated;10082
2011Q1;Struer;Widowed;1411
2011Q1;Struer;Divorced;1514
2011Q1;Viborg;Total;93498
2011Q1;Viborg;Never married;42997
2011Q1;Viborg;Married/separated;38797
2011Q1;Viborg;Widowed;5206
2011Q1;Viborg;Divorced;6498
2011Q1;Region Nordjylland;Total;579829
2011Q1;Region Nordjylland;Never married;265891
2011Q1;Region Nordjylland;Married/separated;236045
2011Q1;Region Nordjylland;Widowed;36126
2011Q1;Region Nordjylland;Divorced;41767
2011Q1;Brønderslev;Total;35789
2011Q1;Brønderslev;Never married;15729
2011Q1;Brønderslev;Married/separated;15375
2011Q1;Brønderslev;Widowed;2315
2011Q1;Brønderslev;Divorced;2370
2011Q1;Frederikshavn;Total;61576
2011Q1;Frederikshavn;Never married;25499
2011Q1;Frederikshavn;Married/separated;26637
2011Q1;Frederikshavn;Widowed;4476
2011Q1;Frederikshavn;Divorced;4964
2011Q1;Hjørring;Total;66473
2011Q1;Hjørring;Never married;29528
2011Q1;Hjørring;Married/separated;27627
2011Q1;Hjørring;Widowed;4327
2011Q1;Hjørring;Divorced;4991
2011Q1;Jammerbugt;Total;38733
2011Q1;Jammerbugt;Never married;16432
2011Q1;Jammerbugt;Married/separated;17338
2011Q1;Jammerbugt;Widowed;2511
2011Q1;Jammerbugt;Divorced;2452
2011Q1;Læsø;Total;1949
2011Q1;Læsø;Never married;672
2011Q1;Læsø;Married/separated;900
2011Q1;Læsø;Widowed;207
2011Q1;Læsø;Divorced;170
2011Q1;Mariagerfjord;Total;42572
2011Q1;Mariagerfjord;Never married;18761
2011Q1;Mariagerfjord;Married/separated;18134
2011Q1;Mariagerfjord;Widowed;2609
2011Q1;Mariagerfjord;Divorced;3068
2011Q1;Morsø;Total;21600
2011Q1;Morsø;Never married;9372
2011Q1;Morsø;Married/separated;9205
2011Q1;Morsø;Widowed;1567
2011Q1;Morsø;Divorced;1456
2011Q1;Rebild;Total;28940
2011Q1;Rebild;Never married;12802
2011Q1;Rebild;Married/separated;12702
2011Q1;Rebild;Widowed;1645
2011Q1;Rebild;Divorced;1791
2011Q1;Thisted;Total;45145
2011Q1;Thisted;Never married;19495
2011Q1;Thisted;Married/separated;19685
2011Q1;Thisted;Widowed;3082
2011Q1;Thisted;Divorced;2883
2011Q1;Vesthimmerlands;Total;37864
2011Q1;Vesthimmerlands;Never married;16903
2011Q1;Vesthimmerlands;Married/separated;15770
2011Q1;Vesthimmerlands;Widowed;2594
2011Q1;Vesthimmerlands;Divorced;2597
2011Q1;Aalborg;Total;199188
2011Q1;Aalborg;Never married;100698
2011Q1;Aalborg;Married/separated;72672
2011Q1;Aalborg;Widowed;10793
2011Q1;Aalborg;Divorced;15025
2011Q2;All Denmark;Total;5564219
2011Q2;All Denmark;Never married;2626084
2011Q2;All Denmark;Married/separated;2177947
2011Q2;All Denmark;Widowed;306548
2011Q2;All Denmark;Divorced;453640
2011Q2;Region Hovedstaden;Total;1702388
2011Q2;Region Hovedstaden;Never married;857506
2011Q2;Region Hovedstaden;Married/separated;606108
2011Q2;Region Hovedstaden;Widowed;84306
2011Q2;Region Hovedstaden;Divorced;154468
2011Q2;Copenhagen;Total;541559
2011Q2;Copenhagen;Never married;337717
2011Q2;Copenhagen;Married/separated;135002
2011Q2;Copenhagen;Widowed;18752
2011Q2;Copenhagen;Divorced;50088
2011Q2;Frederiksberg;Total;99237
2011Q2;Frederiksberg;Never married;56100
2011Q2;Frederiksberg;Married/separated;28402
2011Q2;Frederiksberg;Widowed;5209
2011Q2;Frederiksberg;Divorced;9526
2011Q2;Dragør;Total;13743
2011Q2;Dragør;Never married;5234
2011Q2;Dragør;Married/separated;6656
2011Q2;Dragør;Widowed;860
2011Q2;Dragør;Divorced;993
2011Q2;Tårnby;Total;40935
2011Q2;Tårnby;Never married;17665
2011Q2;Tårnby;Married/separated;16914
2011Q2;Tårnby;Widowed;2596
2011Q2;Tårnby;Divorced;3760
